Title,Prompt,cmd,enable,tag,act
train ChatGPT to write exactly in,"Act like a professional copywriter. I'm going to show you some copy I've written, and your goal is to imitate it.

You'll start by just saying ""START"". Then I'll show you an example text and you'll just say ""NEXT"". Then another example and you'll just say ""NEXT"" and so on. I'll give you lots of examples, more than two. You'll never stop saying ""NEXT"". You can only say something else when I say ""DONE"", not before.

Then you'll analyze my writing style, tone and style of the sample texts I've given you. Finally, I'll ask you to write a new text on a given subject using exactly my writing style",,,,
Missing entity Identify,"You will ask me for an article. Then you will generate increasingly concise, entity-dense summaries of the article article. 

Repeat the following 2 steps 5 times. 

Step 1. Identify 1-3 informative entities ("";"" delimited) from the article which are missing from the previously generated summary. 
Step 2. Write a new, denser summary of identical length which covers every entity and detail from the previous summary plus the missing entities. 

A missing entity is:
- relevant to the main story, 
- specific yet concise (5 words or fewer), 
- novel (not in the previous summary), 
- faithful (present in the article), 
- anywhere (can be located anywhere in the article).

Guidelines:

- The first summary should be long (4-5 sentences, ~80 words) yet highly non-specific, containing little information beyond the entities marked as missing. Use overly verbose language and fillers (e.g., ""this article discusses"") to reach ~80 words.
- Make every word count: rewrite the previous summary to improve flow and make space for additional entities.
- Make space with fusion, compression, and removal of uninformative phrases like ""the article discusses"".
- The summaries should become highly dense and concise yet self-contained, i.e., easily understood without the article. 
- Missing entities can appear anywhere in the new summary.
- Never drop entities from the previous summary. If space cannot be made, add fewer new entities. 

Remember, use the exact same number of words for each summary.
Answer in JSON. The JSON should be a list (length 5) of dictionaries whose keys are ""Missing_Entities"" and ""Denser_Summary"".",,,,
Pr,,,,,
Missing entity Identify,"You will ask me for an article. Then you will generate increasingly concise, entity-dense summaries of the article article. 

Repeat the following 2 steps 5 times. 

Step 1. Identify 1-3 informative entities ("";"" delimited) from the article which are missing from the previously generated summary. 
Step 2. Write a new, denser summary of identical length which covers every entity and detail from the previous summary plus the missing entities. 

A missing entity is:
- relevant to the main story, 
- specific yet concise (5 words or fewer), 
- novel (not in the previous summary), 
- faithful (present in the article), 
- anywhere (can be located anywhere in the article).

Guidelines:

- The first summary should be long (4-5 sentences, ~80 words) yet highly non-specific, containing little information beyond the entities marked as missing. Use overly verbose language and fillers (e.g., ""this article discusses"") to reach ~80 words.
- Make every word count: rewrite the previous summary to improve flow and make space for additional entities.
- Make space with fusion, compression, and removal of uninformative phrases like ""the article discusses"".
- The summaries should become highly dense and concise yet self-contained, i.e., easily understood without the article. 
- Missing entities can appear anywhere in the new summary.
- Never drop entities from the previous summary. If space cannot be made, add fewer new entities. 

Remember, use the exact same number of words for each summary.
Answer in JSON. The JSON should be a list (length 5) of dictionaries whose keys are ""Missing_Entities"" and ""Denser_Summary"".",,,,
PowerShell Function That Runs pbi-tools CLI Commands with Helper Parameters,"Preview this power shell functino as it intends to accomplish thefollowing:

Run one of the pbi-tools cli commands and include the parameter hints as function parameters. This makes it simple for the user to choose a pbi-tool command, and see what options are available. 

Keep in mind the goal here is to simply make all of the parameters optional, but only be part of the final run if user enterted. Keep in mind while in Powershell parameters are signifed using <->, in the command line tool there is no such thing. you must ensure the final command to pbi-tools cli is like the following:

If PowerShell input is:


then the cli will receive:****


Please also to make sure you view and use the help text at the start of this function.


The end output is a command in a terminal. 



i think the reason is the file i am using has spaces in it. 
This function is simply calling a cli command and running it. 

All COMMANDS when run in the terminal should not be in quotes. any file type parameter MUST  bein quotes when the cli is run. 

For example, the final output, what the terminal should see for any pbix or path file value would be like the following. 

If the powershell was:



then the final value and command should be (in pbi-tools, not powershell):

",,,,
tASK VIEW,"Given a task specified by the user, you will first complete the task in your initial message responding to the user.

Then, you will send another message. In this message, you will analyze your work, critique it (in three bullet points), and suggest improvements. Then, you will complete the task again, implementing your changes.

The format for your self-evaluation message should be as follows:
```
[Critiques]
- Critique 1
- Critique 2
- Critique 3

[Improvements]
- Improvement 1
- Improvement 2
- Improvement 3

[Revised Task Completion]
Revised task completion text",,,,
Pr,,,,,
EDUCATINATOR PROMPT,"I need you to create an outline for a 5-part educational  course called ""[NAME]""
 

 
For context, [INSERT CONTEXT]
 

 
Your output should be formatted like this:
 

 
# NAME OF THE EMAIL COURSE
 

 
## PART 1 OF THE COURSE 
 

 
### Idea 1
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 
### Idea 2
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 
### Idea 3
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 

 
## PART 2 OF THE COURSE 
 

 
### Idea 1
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 
### Idea 2
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 
### Idea 3
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 

 
## PART 3 OF THE COURSE 
 

 
### Idea 1
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 
### Idea 2
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 
### Idea 3
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 

 
## PART 4 OF THE COURSE 
 

 
### Idea 1
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 
### Idea 2
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 
### Idea 3
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 

 
## PART 5 OF THE COURSE 
 

 
### Idea 1
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 
### Idea 2
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 
### Idea 3
 
- Sub point 1
 
- Sub point 2
 
- Sub point 3
 
——
 

 
Every PART should be a headline for the respective part
 

 
Every Idea is one Heading inside that PART
 

 
Every Sub point is supportive of the above idea",,,,
Training Creator 1,"Act as an online education specialist. 

I am preparing an online course and want assistance with the course ideas.

My areas of expertise are in: [insert skills/knowledge]

Generate 10 unique course ideas related to each area of expertise. 

Please also suggest a key learning objective for each course.",,,,
Reasoning guide,,,,,
